wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
danach verfahr wir wie ublich : ein redn dafur , ein dageg .	then we shall follow the usual procedur , hear one speaker in favour and one against .	0-0 2-1 0-2 1-3 2-4 4-5 1-6 9-7 4-8 6-9 7-10 8-11 8-12 9-13 10-14 11-15 12-16	-73.4744372069
frau prasidentin ! die vorstell des polit programm der kommission prodi fur die gesamt wahlperiod ging auf ein vorschlag der fraktion der sozialdemokrat partei europas zuruck , der die einhell billig der konferenz der prasident im septemb und auch die ausdruck zustimm von prasident prodi fand , der sein zusag in sein antrittsred bekraftigt .	madam presid , the present of the prodi commiss ' s polit programm for the whole legislatur wa initi a propos by the group of the parti of european socialist which wa unanim approv by the confer of presid in septemb and which wa also explicitli accept by presid prodi , who reiter hi commit in hi inaugur speech .	1-0 1-1 2-2 3-3 4-4 5-5 8-6 10-7 9-8 29-9 52-10 6-11 7-12 11-13 12-14 13-15 14-16 15-17 52-18 17-19 18-20 19-21 19-22 20-23 21-24 21-25 23-26 21-27 22-28 22-29 26-30 15-31 29-32 30-33 31-34 31-35 32-36 33-37 34-38 35-39 36-40 37-41 46-42 45-43 38-44 40-45 41-46 42-47 43-48 44-49 46-50 46-51 53-52 48-53 49-54 50-55 51-56 52-57 52-58 54-59	-223.18314504
dies zusag ist insof von bedeut , als die kommission ein organ ist , das nach den vertrag das initiativmonopol besitzt und somit grundleg die polit und legislativ tatig dies parlament in den nach funf jahr gestaltet .	thi commit is import becaus the commiss is a bodi with a monopoli of initi in accord with the treati and , therefor , basic dictat thi parliament ' s polit and legisl activ for the next five year .	0-0 1-1 2-2 5-3 3-4 8-5 9-6 10-7 10-8 11-9 10-10 10-11 19-12 18-13 19-14 15-15 15-16 16-17 16-18 17-19 21-20 21-21 22-22 24-23 23-24 19-25 29-26 30-27 19-28 19-29 25-30 26-31 27-32 28-33 33-34 32-35 33-36 34-37 35-38 37-39	-152.722044466
ich mocht auch daran erinn , dass dies parlament in der vorangegang wahlperiod prasident prodi zweimal sein vertrau ausgesproch hat ; in dies wahlperiod sprach es ihm im juli erneut sein vertrau aus , und dann , als die neu kommission im amt war , gab es im septemb erneut ein vertrauensvotum fur die kommission insgesamt .	i would also like to point out , madam presid , that thi parliament vote to express it confid in presid prodi dure the previou legislatur . it did so again dure thi legislatur , in juli , and then , in septemb , it vote onc more to approv the whole commiss .	0-0 1-1 2-2 1-3 1-4 3-5 3-6 5-7 51-8 13-9 5-10 6-11 7-12 8-13 51-14 52-15 18-16 16-17 17-18 9-19 13-20 14-21 12-22 10-23 11-24 12-25 56-26 46-27 51-28 51-29 49-30 23-31 22-32 23-33 27-34 27-35 28-36 33-37 34-38 35-39 36-40 47-41 48-42 44-43 46-44 51-45 49-46 50-47 52-48 11-49 53-50 55-51 54-52 56-53	-235.827328201
somit hatt die kommission bereit genug zeit , ihr programm zu erarbeit , und wir , um es kennenlern und den burg erklar zu konn .	there ha therefor been enough time for the commiss to prepar it programm and for us to becom familiar with it and explain it to our citizen .	17-0 4-1 0-2 4-3 5-4 6-5 7-6 2-7 3-8 10-9 11-10 8-11 9-12 13-13 16-14 18-15 16-16 18-17 18-18 16-19 17-20 19-21 22-22 23-23 23-24 21-25 21-26 25-27	-117.66024733
in dies sinn erinn ich an die entschliess vom 15. septemb , in der empfohl wurd , den vorschlag in der kurzestmog frist vorzuleg .	to thi end , i would like to remind you of the resolut of 15 septemb , which recommend that the propos be present as soon as possibl .	5-0 1-1 21-2 16-3 4-4 3-5 4-6 5-7 3-8 3-9 5-10 6-11 7-12 8-13 9-14 10-15 11-16 11-17 14-18 16-19 17-20 18-21 16-22 23-23 20-24 21-25 20-26 21-27 24-28	-120.129637085
die ereignis der vergang woch - die am rand der konferenz der prasident ihr anfang nahm und wobei dies konferenz nur zur bestat und ratifizier von ausserhalb gefasst beschluss genutzt wurd - verdeut ein dilemma : entwed ist die kommission nicht in der lag , dies programm vorzuleg ( in dies fall sollt sie ein klarung herbeifuhr .	the event of last week - which origin outsid the confer of presid , that confer be use simpli to corrobor and ratifi decis taken elsewher - present us with a dilemma . either the commiss is not readi to present thi programm , in which case it should clarifi it .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 56-7 26-8 9-9 10-10 11-11 12-12 16-13 18-14 19-15 17-16 29-17 20-18 21-19 56-20 23-21 24-22 28-23 27-24 56-25 31-26 47-27 56-28 17-29 33-30 34-31 57-32 36-33 38-34 39-35 37-36 40-37 56-38 57-39 47-40 45-41 46-42 44-43 41-44 44-45 51-46 53-47 52-48 55-49 53-50 57-51	-240.326798271
nach den wort ihr prasident ist sie dazu in der lag .	accord to it presid , it is in a posit to do so .	0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 7-10 7-11 7-12 11-13	-52.6080916088
da die kommission durch die vizeprasidentin , frau de palacio , vertret ist , halt ich es fur zweckmass , vor der abstimm die position der kommission hinsicht ihr bereitschaft zur vorstell des programm , so wie es vereinbart war , zu erfahr . ) , oder das parlament ist zur prufung dies programm nicht in der lag , wie einig offenbar vorgeb .	given that the commiss is repres by vice-presid de palacio , i believ that , befor vote , it would help if the commiss could let us know how readi it is to present thi programm , as agre . altern , parliament is not readi to examin thi programm , as some appear to be suggest .	0-0 1-1 1-2 2-3 12-4 11-5 3-6 5-7 8-8 9-9 10-10 15-11 18-12 19-13 19-14 20-15 22-16 34-17 37-18 39-19 29-20 35-21 25-22 26-23 31-24 62-25 5-26 42-27 36-28 29-29 37-30 37-31 30-32 31-33 52-34 53-35 58-36 59-37 60-38 63-39 62-40 45-41 48-42 49-43 54-44 29-45 30-46 51-47 52-48 53-49 58-50 59-51 60-52 61-53 13-54 14-55 9-56 43-57	-268.078555456
da mein fraktion der meinung ist , dass ein parlament dazu da ist , zuzuhor , zu diskuti und nachzudenk , gibt es uns ansicht nach kein grund zur rechtfert dies verzoger , und wir glaub , wenn die kommission dazu in der lag ist , lieg wir genau in der zeit , um die ursprung vereinbar zwisch dem parlament und der kommission wied in kraft zu setz und verantwortungsbewusst vor uns mitburgerinn und mitburg tret zu konn .	my group believ that sinc a parliament is meant to listen , debat and reflect , there can be no justif whatsoev for thi delay and we believ that , if the commiss is readi to do so , we still have time to re-establish the origin agreement between parliament and the commiss and proceed in a manner which fulfil our duti to our fellow citizen .	1-0 2-1 4-2 7-3 11-4 8-5 9-6 12-7 72-8 13-9 14-10 15-11 17-12 18-13 19-14 20-15 21-16 24-17 25-18 26-19 29-20 72-21 28-22 30-23 31-24 33-25 34-26 35-27 36-28 36-29 37-30 38-31 39-32 12-33 14-34 16-35 40-36 40-37 45-38 47-39 70-40 71-41 51-42 52-43 72-44 54-45 55-46 56-47 57-48 59-49 60-50 61-51 62-52 63-53 72-54 64-55 66-56 72-57 58-58 72-59 71-60 72-61 76-62 71-63 72-64 74-65 78-66	-287.62546723
dah bitt ich sie , frau prasidentin , die kommission zu ersuch , sich jetzt zu auss , und danach zur abstimm zu schreit .	therefor , madam presid , i would ask you to request that the commiss express it opinion on thi issu and that we then proceed to the vote .	0-0 4-1 6-2 6-3 7-4 2-5 1-6 1-7 3-8 10-9 11-10 7-11 8-12 9-13 16-14 15-15 16-16 20-17 22-18 23-19 18-20 17-21 19-22 19-23 23-24 22-25 20-26 21-27 24-28	-120.982591445
( beifall der pse-fraktion )	( applaus from the pse group )	0-0 1-1 1-2 2-3 3-4 3-5 4-6	-14.6605720001
frau prasidentin , lieb kolleginn und kolleg ! ich bin doch etwas erstaunt uber das verhalt des kolleg barón crespo , der jetzt verlangt , dass dies tagesordnungspunkt auf die tagesordn fur mittwoch gesetzt wird .	madam presid , i realli am quit astonish at mr barón crespo ' s behaviour and the fact that he is now ask for thi item to be put on wednesday 's agenda .	1-0 1-1 7-2 8-3 10-4 9-5 12-6 12-7 13-8 17-9 18-10 19-11 12-12 19-13 15-14 5-15 14-16 12-17 14-18 12-19 14-20 22-21 23-22 24-23 26-24 27-25 28-26 34-27 33-28 31-29 32-30 29-31 30-32 35-33	-155.238307303
herr kolleg barón crespo , sie konnt am letzt donnerstag in der konferenz der prasident nicht anwes sein .	mr barón crespo , you were unabl to attend the confer of presid last thursday .	1-0 2-1 3-2 4-3 5-4 6-5 3-6 4-7 16-8 11-9 12-10 13-11 14-12 8-13 9-14 18-15	-51.2845365484
das kritisi ich nicht ; es kommt imm mal vor , dass man sich vertret lasst .	i am not criticis thi ; it happen from time to time that peopl send someon to repres them .	2-0 2-1 3-2 1-3 0-4 4-5 5-6 1-7 9-8 8-9 10-10 8-11 11-12 12-13 1-14 1-15 13-16 14-17 12-18 16-19	-95.9588064252
der kolleg hansch hat sie dort vertret .	mr hänsch repres you on thi occas .	1-0 2-1 6-2 4-3 7-4 7-5 2-6 7-7	-39.0419446026
wir hab in der konferenz der prasident ein ausfuhr debatt gefuhrt .	in the confer of presid , we had an in-depth discuss .	2-0 3-1 4-2 5-3 6-4 5-5 0-6 1-7 7-8 8-9 9-10 11-11	-40.5643966884
nur ihr fraktion hat das vertret , was sie jetzt sag .	your group wa alon in advoc what you are say now .	1-0 2-1 3-2 5-3 6-4 5-5 7-6 8-7 8-8 10-9 9-10 11-11	-49.0081812112
wir hab dann abgestimmt .	we then put it to a vote .	0-0 2-1 3-2 4-3 4-4 4-5 3-6 4-7	-27.8552942427
jed vorsitz bzw. jed vorsitz hat ja so viel stimm , wie die fraktion mitglied hat .	as you know , each chairman ha the same number of vote as hi group ha member .	11-0 6-1 6-2 6-3 3-4 4-5 5-6 12-7 7-8 8-9 12-10 9-11 11-12 4-13 13-14 15-15 14-16 16-17	-88.2036688223
es gab ein abstimm zu dies punkt .	there wa a vote on thi matter .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7	-17.7488989396
dies abstimm ist mein erinner nach so ausgegang : 422 geg 180 stimm bei einig wenig enthalt .	as i recal , the outcom of thi vote wa 422 vote to 180 with a few abstent .	6-0 3-1 4-2 2-3 3-4 9-5 0-6 0-7 1-8 7-9 9-10 12-11 13-12 11-13 12-14 13-15 15-16 16-17 17-18	-78.2131631849
das heisst , all fraktion , mit ausnahm der fraktionslos - aber die sind ja kein fraktion - war sich einig , nur ihr fraktion war der meinung , so zu verfahr , wie sie es hier vorgeschlag hab .	thi mean that all the group with the except of the non-attach member - but , of cours , they are not a group - were in agreement ; onli your group thought that we should proceed as you have propos here .	0-0 1-1 2-2 3-3 3-4 4-5 6-6 8-7 7-8 8-9 8-10 9-11 9-12 10-13 11-14 11-15 12-16 14-17 14-18 13-19 13-20 15-21 19-22 16-23 17-24 18-25 19-26 20-27 9-28 22-29 23-30 24-31 27-32 28-33 29-34 30-35 31-36 33-37 34-38 38-39 37-40 36-41 39-42	-161.984141201
all and war and meinung .	all of the other were of a differ opinion .	0-0 0-1 0-2 1-3 2-4 3-5 5-6 3-7 4-8 5-9	-34.4405723132
das war der beschluss .	that wa the decis .	0-0 1-1 2-2 3-3 4-4	-7.11575334343
jetzt mocht ich zur sach selb etwas sag .	i should now like to comment on the issu itself .	2-0 1-1 0-2 1-3 3-4 4-5 3-6 3-7 4-8 5-9 8-10	-37.3250581992
wir hab vertrau zur kommission , zu romano prodi , und die ganz gross mehrheit uns fraktion hat romano prodi und der kommission nach ein schwierig prozess , wie jed weiss , das vertrau ausgesproch .	we have confid in the commiss and in romano prodi and , after a difficult procedur , as everyon know , the vast major of our group support the vote of confid in romano prodi and the commiss .	0-0 1-1 2-2 3-3 3-4 4-5 10-6 11-7 18-8 19-9 20-10 21-11 23-12 24-13 25-14 26-15 27-16 28-17 29-18 30-19 31-20 32-21 14-22 14-23 15-24 15-25 16-26 14-27 11-28 14-29 15-30 2-31 3-32 18-33 19-34 20-35 21-36 22-37 35-38	-132.68082623
aber wir sind auch der meinung , dass wir ein debatt uber dies strategi der kommission in ein geordnet verfahr fuhr muss , nicht nur aufgrund ein mundlich erklar hier im europa parlament , sond auch aufgrund ein dokument , das in der kommission beschloss ist und dies programm fur funf jahr beschreibt .	we believ , howev , that the commiss 's strateg plan need to be debat within a proper procedur framework , not onli on the basi of an oral statement here in the european parliament , but also on the basi of a document which is adopt in the commiss and which describ thi programm over the five-year period .	1-0 5-1 6-2 0-3 6-4 7-5 14-6 15-7 14-8 18-9 18-10 21-11 22-12 21-13 10-14 16-15 17-16 18-17 19-18 52-19 22-20 23-21 24-22 25-23 30-24 25-25 25-26 26-27 27-28 28-29 29-30 30-31 30-32 31-33 32-34 33-35 34-36 35-37 36-38 40-39 36-40 36-41 37-42 38-43 39-44 40-45 44-46 41-47 42-48 43-49 46-50 39-51 52-52 47-53 48-54 11-55 14-56 18-57 18-58 53-59	-237.904393787
ein solch dokument gibt es nicht !	there is no such document !	3-0 4-1 5-2 1-3 2-4 6-5	-17.3393657102
die kommission wird das programm fur das jahr 2000 im februar vorleg .	the commiss will present it programm for the year 2000 in februari .	0-0 1-1 2-2 11-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 12-12	-27.4472671832
wir hab gesagt , o. k , wenn die kommission das programm 2000 noch nicht im januar mach will , dann mach wir das im februar .	we have said , veri well , if the commiss doe not wish to introduc the 2000 programm as earli as januari then we will do it in februari .	0-0 1-1 2-2 3-3 4-4 4-5 6-6 7-7 8-8 9-9 14-10 14-11 4-12 3-13 4-14 8-15 12-16 11-17 4-18 4-19 4-20 16-21 20-22 22-23 20-24 21-25 23-26 24-27 25-28 26-29	-99.1737646464
wir hab dem zugestimmt .	we have agre to thi .	0-0 1-1 3-2 2-3 2-4 4-5	-17.2771576812
wir woll ja an sich kein streit mit der kommission , sond wir sind der meinung , wenn es eben geht , muss kommission und parlament ein gemeinsam weg geh .	after all , we do not wish to quarrel with the commiss ; if at all possibl , we believ that the commiss and parliament need to tread the same path .	2-0 2-1 2-2 0-3 1-4 5-5 1-6 3-7 6-8 7-9 8-10 9-11 11-12 17-13 19-14 20-15 6-16 10-17 12-18 15-19 15-20 14-21 23-22 24-23 25-24 22-25 3-26 6-27 8-28 6-29 28-30 30-31	-142.511189069
aber wir als parlament sind auch der kontrolleur der kommission . und nicht all , was von der kommission kommt , muss uns meinung sein .	howev , we in parliament also have a supervisori role with regard to the commiss and we do not have to agre with everyth which come out of the commiss .	0-0 0-1 1-2 2-3 3-4 5-5 1-6 2-7 7-8 7-9 8-10 7-11 8-12 8-13 9-14 11-15 1-16 12-17 12-18 4-19 6-20 7-21 8-22 13-23 14-24 19-25 7-26 8-27 8-28 9-29 10-30	-134.501938624
ich mocht , dass wir uns auf ein debatt uber das funfjahresprogramm in den fraktion vernunft vorbereit konn .	i should like us to be abl to do a reason amount of prepar for the debat on the five-year programm in our group .	0-0 1-1 1-2 5-3 6-4 17-5 17-6 18-7 11-8 7-9 15-10 11-11 13-12 16-13 16-14 13-15 8-16 9-17 10-18 11-19 11-20 12-21 14-22 14-23 18-24	-94.186161135
man kann sich nicht vorbereit , wenn man hier ein erklar hort und gar nicht weiss , was inhalt ein solch erklar ist .	you cannot prepar if you hear a statement in thi hous and have no idea of it content .	0-0 1-1 4-2 6-3 7-4 11-5 9-6 10-7 8-8 8-9 11-10 12-11 11-12 13-13 11-14 9-15 7-16 18-17 23-18	-83.0208111717
es ist also auch ein vernunft sachlich zusammenhang , der uns rat , die debatt uber beid programm gemeinsam zu fuhr .	the fact that the subject are connect also suggest that we should hold the debat on both programm togeth .	9-0 6-1 8-2 9-3 6-4 8-5 7-6 3-7 6-8 8-9 10-10 19-11 20-12 13-13 14-14 15-15 16-16 17-17 18-18 21-19	-85.603519353
desweg lehnt mein fraktion den vorschlag der sozialist fraktion entschied ab !	that is whi my group firmli reject the propos made by the socialist group .	0-0 0-1 0-2 2-3 3-4 9-5 1-6 4-7 5-8 5-9 6-10 6-11 7-12 8-13 11-14	-51.4894227147
( beifall von der ppe-de-fraktion )	( applaus from the ppe-d group )	0-0 1-1 2-2 3-3 4-4 4-5 5-6	-10.5062343963
ich schlag vor , dass wir uber den antrag der sozialdemokrat fraktion , die erklar der kommission uber ihr strateg ziel wied auf die tagesordn zu setz , abstimm .	i propos that we vote on the request of the group of the parti of european socialist that the commiss statement on it strateg object should be reinstat .	0-0 1-1 4-2 5-3 28-4 6-5 7-6 8-7 9-8 9-9 11-10 9-11 9-12 10-13 9-14 10-15 10-16 12-17 13-18 16-19 14-20 17-21 18-22 19-23 20-24 25-25 25-26 21-27 29-28	-104.953841281
( das parlament lehnt den antrag ab . ) die prasidentin .	( parliament reject the request ) presid .	0-0 2-1 3-2 4-3 5-4 8-5 10-6 11-7	-15.026497269
zum mittwoch liegt mir noch ein weit antrag betreff die mundlich anfrag uber die kapitalsteu vor .	still on the subject of wednesday ' s sit , i have anoth propos regard the oral question on capit tax .	4-0 12-1 13-2 14-3 0-4 1-5 14-6 14-7 14-8 0-9 3-10 4-11 6-12 7-13 8-14 9-15 10-16 11-17 12-18 14-19 14-20 16-21	-79.8937628185
die ppe / de-fraktion beantragt , dies punkt von der tagesordn abzusetz .	the ppe-d group is request that thi item be taken off the agenda .	0-0 3-1 3-2 5-3 4-4 5-5 6-6 7-7 11-8 11-9 11-10 9-11 10-12 12-13	-47.1281636465
mocht jemand den antrag im nam der fraktion begrund ?	is there a member who wish to speak on behalf of thi group to propos thi ?	6-0 1-1 4-2 1-3 1-4 0-5 0-6 1-7 5-8 5-9 6-10 4-11 7-12 2-13 3-14 4-15 9-16	-91.2449862445
frau prasidentin , da ich bei den sozialist ein bissch gelacht hor - mir wurd gesagt , dass auch weit kreis der sozialist fraktion dies tagesordnungspunkt gern abgesetzt hab woll , weil bei der abstimm in der konferenz der prasident das votum der arbeitsgrupp der zustand kolleginn und kolleg der sozialist fraktion nicht vorlag .	madam presid , i can hear a rippl of laughter from the socialist . i wa told that larg section of the socialist group were also keen to have thi item taken off the agenda , becaus at the vote in the confer of presid no vote wa receiv from the work group of member of the socialist group respons for thi matter .	1-0 1-1 2-2 4-3 20-4 11-5 8-6 10-7 8-8 10-9 27-10 49-11 50-12 54-13 13-14 14-15 15-16 17-17 10-18 10-19 21-20 21-21 22-22 23-23 20-24 18-25 10-26 29-27 28-28 24-29 25-30 10-31 10-32 21-33 25-34 30-35 31-36 32-37 33-38 34-39 35-40 36-41 37-42 38-43 39-44 52-45 41-46 53-47 53-48 27-49 42-50 43-51 43-52 44-53 48-54 49-55 49-56 50-57 51-58 45-59 32-60 24-61 10-62 54-63	-274.038826631
ich weiss nicht , ob dies information richtig ist , aber wir als evp-ed-fraktion war jedenfall dankbar , wenn dies punkt abgesetzt wurd , weil sich das parlament namlich schon mehrfach mit dies frag befasst hat .	i do not know whether thi inform is correct , but the ppe-d group would , in ani case , be grate if thi item were remov becaus parliament ha address thi issu sever time alreadi .	0-0 1-1 2-2 1-3 4-4 5-5 6-6 8-7 7-8 9-9 10-10 26-11 13-12 13-13 14-14 17-15 17-16 15-17 15-18 17-19 14-20 16-21 18-22 19-23 20-24 22-25 21-26 24-27 27-28 35-29 34-30 32-31 33-32 30-33 30-34 29-35 36-36	-138.07648466
